iter	Passed	Remaining
360	620	1097
361	621	1094
362	622	1091
363	623	1088
364	624	1085
365	625	1082
366	626	1080
367	627	1077
368	628	1074
369	630	1074
370	632	1071
371	633	1069
372	634	1066
373	635	1063
374	636	1060
375	637	1057
376	638	1054
377	639	1052
378	640	1049
379	641	1046
380	642	1043
381	645	1044
382	647	1042
383	648	1039
384	649	1037
385	650	1034
386	651	1031
387	652	1028
388	653	1025
389	654	1023
390	655	1020
391	656	1017
392	657	1015
393	660	1016
394	662	1014
395	663	1011
396	664	1008
397	665	1006
398	666	1003
399	667	1000
400	668	998
401	669	995
402	670	992
403	671	990
404	672	987
405	675	988
406	677	986
407	678	984
408	679	982
409	680	979
410	681	976
411	682	974
412	683	971
413	684	969
414	685	966
415	686	963
416	688	962
417	691	962
418	692	960
419	693	957
420	694	955
421	695	952
422	696	950
423	697	947
424	698	945
425	699	942
426	700	940
427	701	937
428	703	935
429	706	936
430	707	933
431	708	931
432	709	928
433	710	926
434	711	924
435	712	921
436	713	919
437	714	916
438	715	914
439	716	911
440	719	912
441	721	910
442	722	908
443	723	905
444	724	903
445	725	901
446	726	898
447	727	896
448	728	894
449	729	891
450	730	889
451	731	886
452	734	887
453	736	885
454	737	882
455	738	880
456	739	878
457	740	875
458	741	873
459	742	871
460	743	869
461	744	866
462	745	864
463	746	862
464	749	862
465	751	860
466	752	858
467	753	856
468	754	853
469	755	851
470	756	849
471	757	847
472	758	844
473	759	842
474	760	840
475	761	838
476	764	838
477	765	836
478	766	834
479	768	832
480	769	829
481	770	827
482	771	825
483	772	823
484	773	820
485	774	818
486	775	816
487	776	814
488	777	812
489	780	812
490	781	810
491	782	808
492	783	805
493	784	803
494	785	801
495	786	799
496	787	797
497	788	795
498	789	793
499	790	790
500	791	788
501	794	788
502	796	786
503	797	784
504	798	782
505	799	780
506	800	778
507	801	776
508	802	774
509	803	772
510	804	770
511	806	768
512	809	768
513	810	766
514	811	764
515	812	762
516	813	760
517	814	758
518	815	756
519	816	754
520	817	752
521	818	749
522	819	747
523	820	745
524	824	745
525	825	744
526	826	742
527	827	739
528	828	737
529	830	736
530	831	734
531	832	732
532	833	729
533	834	727
534	835	725
535	836	723
536	839	723
537	840	721
538	841	719
539	842	717
540	843	716
541	844	713
542	845	711
543	846	709
544	847	707
545	848	705
546	849	703
547	850	701
548	854	701
549	855	700
550	856	698
551	857	696
552	859	694
553	860	692
554	861	690
555	862	688
556	863	686
557	864	684
558	865	682
559	867	681
560	869	680
561	871	678
562	872	677
563	873	675
564	874	673
565	875	671
566	876	669
567	877	667
568	878	665
569	879	663
570	880	661
571	882	660
572	884	659
573	885	657
574	886	655
575	887	653
576	888	651
577	889	649
578	890	647
579	892	645
580	893	644
581	894	642
582	895	640
583	896	638
584	899	638
585	900	636
586	901	634
587	902	632
588	903	630
589	904	628
590	905	626
591	906	624
592	907	623
593	908	621
594	909	619
595	910	617
596	914	617
597	916	616
598	917	614
599	918	612
600	919	610
601	920	608
602	921	606
603	922	604
604	923	603
605	924	601
606	925	599
607	930	599
608	931	598
609	933	596
610	934	595
611	935	593
612	937	591
613	938	590
614	939	588
615	944	588
616	946	587
617	947	585
618	949	584
619	950	582
620	951	580
621	952	579
622	954	577
623	955	575
624	960	576
625	961	574
626	962	572
627	964	571
628	965	569
629	966	567
630	967	565
631	968	564
632	970	562
633	972	561
634	974	560
635	975	558
636	976	556
637	977	554
638	978	552
639	979	551
640	980	549
641	981	547
642	982	545
643	984	544
644	987	543
645	989	542
646	991	540
647	992	539
648	993	537
649	994	535
650	995	533
651	996	532
652	997	530
653	998	528
654	999	526
655	1004	526
656	1005	525
657	1007	523
658	1008	521
659	1009	519
660	1010	518
661	1011	516
662	1012	514
663	1013	512
664	1014	511
665	1019	511
666	1023	510
667	1024	509
668	1026	507
669	1027	506
670	1028	504
671	1030	503
672	1032	501
673	1034	500
674	1036	499
675	1037	497
676	1038	495
677	1039	493
678	1040	491
679	1041	490
680	1042	488
681	1046	487
682	1048	486
683	1050	485
684	1052	483
685	1053	482
686	1054	480
687	1055	478
688	1056	477
689	1057	475
690	1061	474
691	1063	473
692	1065	472
693	1066	470
694	1067	468
695	1069	466
696	1070	465
697	1071	463
698	1072	461
699	1075	461
700	1078	459
701	1080	458
702	1081	457
703	1082	455
704	1083	453
705	1084	451
706	1085	449
707	1086	448
708	1090	447
709	1092	446
710	1094	444
711	1096	443
712	1098	442
713	1099	440
714	1101	438
715	1102	437
716	1105	436
717	1108	435
718	1110	433
719	1111	432
720	1113	430
721	1115	429
722	1116	427
723	1119	426
724	1121	425
725	1124	424
726	1125	422
727	1126	420
728	1127	419
729	1128	417
730	1129	415
731	1130	413
732	1134	413
733	1135	411
734	1137	410
735	1139	408
736	1142	407
737	1143	405
738	1144	404
739	1145	402
740	1146	400
741	1149	399
742	1151	398
743	1153	396
744	1154	395
745	1155	393
746	1156	391
747	1158	390
748	1159	388
749	1160	386
750	1162	385
751	1165	384
752	1167	383
753	1169	381
754	1170	379
755	1171	378
756	1172	376
757	1173	374
758	1174	372
759	1175	371
760	1180	370
761	1181	369
762	1183	367
763	1184	365
764	1185	364
765	1186	362
766	1187	360
767	1188	359
768	1189	357
769	1190	355
770	1194	354
771	1196	353
772	1198	352
773	1199	350
774	1200	348
775	1202	346
776	1203	345
777	1204	343
778	1205	341
779	1208	340
780	1210	339
781	1212	337
782	1213	336
783	1214	334
784	1215	332
785	1216	331
786	1217	329
787	1218	327
788	1219	326
789	1224	325
790	1226	324
791	1228	322
792	1229	321
793	1230	319
794	1231	317
795	1232	315
796	1234	314
797	1235	312
798	1238	311
799	1239	309
800	1241	308
801	1242	306
802	1243	304
803	1244	303
804	1245	301
805	1246	299
806	1247	298
807	1248	296
808	1249	295
809	1252	293
810	1254	292
811	1256	290
812	1257	289
813	1258	287
814	1259	285
815	1260	284
816	1261	282
817	1262	280
818	1263	279
819	1264	277
820	1267	276
821	1269	274
822	1270	273
823	1271	271
824	1272	269
825	1273	268
826	1274	266
827	1275	264
828	1276	263
829	1277	261
830	1278	259
831	1279	258
832	1282	257
833	1284	255
834	1285	253
835	1286	252
836	1287	250
837	1288	249
838	1289	247
839	1290	245
840	1291	244
841	1292	242
842	1293	240
843	1294	239
844	1297	238
845	1298	236
846	1299	234
847	1300	233
848	1301	231
849	1302	229
850	1303	228
851	1304	226
852	1305	225
853	1306	223
854	1308	221
855	1309	220
856	1312	218
857	1313	217
858	1314	215
859	1315	214
860	1316	212
861	1317	210
862	1318	209
863	1319	207
864	1320	206
865	1321	204
866	1322	202
867	1323	201
868	1327	200
869	1328	198
870	1330	197
871	1331	195
872	1333	193
873	1334	192
874	1335	190
875	1336	189
876	1338	187
877	1339	186
878	1343	184
879	1344	183
880	1345	181
881	1346	180
882	1348	178
883	1349	177
884	1350	175
885	1351	173
886	1353	172
887	1357	171
888	1358	169
889	1360	168
890	1362	166
891	1363	165
892	1364	163
893	1366	162
894	1368	160
895	1374	159
896	1375	157
897	1377	156
898	1379	154
899	1381	153
900	1383	152
901	1388	150
902	1390	149
903	1392	147
904	1393	146
905	1395	144
906	1397	143
907	1398	141
908	1404	140
909	1405	138
910	1406	137
911	1407	135
912	1408	134
913	1410	132
914	1411	131
915	1412	129
916	1413	127
917	1414	126
918	1417	124
919	1419	123
920	1421	121
921	1422	120
922	1423	118
923	1424	117
924	1425	115
925	1426	114
926	1427	112
927	1428	110
928	1431	109
929	1433	107
930	1435	106
931	1436	104
932	1437	103
933	1439	101
934	1440	100
935	1442	98
936	1446	97
937	1448	95
938	1450	94
939	1452	92
940	1453	91
941	1454	89
942	1455	87
943	1456	86
944	1458	84
945	1462	83
946	1463	81
947	1465	80
948	1467	78
949	1468	77
950	1470	75
951	1472	74
952	1476	72
953	1478	71
954	1479	69
955	1480	68
956	1482	66
957	1483	65
958	1484	63
959	1485	61
960	1490	60
961	1492	58
962	1493	57
963	1495	55
964	1496	54
965	1497	52
966	1498	51
967	1499	49
968	1500	48
969	1501	46
970	1505	44
971	1507	43
972	1508	41
973	1509	40
974	1510	38
975	1512	37
976	1513	35
977	1514	34
978	1515	32
979	1519	31
980	1521	29
981	1522	27
982	1524	26
983	1525	24
984	1526	23
985	1527	21
986	1528	20
987	1529	18
988	1530	17
989	1534	15
990	1536	13
991	1537	12
992	1539	10
993	1540	9
994	1541	7
995	1542	6
996	1544	4
997	1545	3
998	1550	1
999	1551	0
